epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4276.85,1.23612,4.0691,1.70397,0.47645,0.22172,0.22638,0.13118,1.30463,4.24226,1.77326,0.0001008,0.0001008,0.0001008
2,8624.33,1.19203,2.6586,1.61244,0.31171,0.30203,0.3133,0.19168,1.38162,3.65555,1.83557,0.000181822,0.000181822,0.000181822
3,12901.3,1.15914,2.09596,1.5586,0.29823,0.35891,0.31869,0.19425,1.3739,3.40631,1.83812,0.000242846,0.000242846,0.000242846
4,16036.2,1.11575,1.71085,1.50353,0.35653,0.42858,0.41453,0.25053,1.38197,3.1282,1.82346,0.000213009,0.000213009,0.000213009
5,19320.4,1.0715,1.43312,1.4558,0.36236,0.39924,0.42595,0.26402,1.43014,2.91404,1.85734,0.000183012,0.000183012,0.000183012
6,22250.5,1.02345,1.2379,1.4176,0.4857,0.34974,0.42122,0.24877,1.42356,2.92499,1.8369,0.000153015,0.000153015,0.000153015
7,25302,0.98368,1.092,1.37625,0.4715,0.38528,0.46163,0.24617,1.46814,2.8358,1.90149,0.000123018,0.000123018,0.000123018
8,28380,0.93493,0.97637,1.33413,0.38727,0.43685,0.43188,0.24445,1.49924,2.7029,1.93944,9.3021e-05,9.3021e-05,9.3021e-05
9,31446.5,0.89873,0.89717,1.30164,0.45977,0.46936,0.4749,0.26921,1.46605,2.77359,1.93118,6.3024e-05,6.3024e-05,6.3024e-05
10,34345.2,0.86323,0.8346,1.28009,0.54081,0.40964,0.476,0.26077,1.55612,2.82276,2.02363,3.3027e-05,3.3027e-05,3.3027e-05
